epoch,train_loss,test_loss,learning_rate
1,0.16741894942242652,0.1333041477482766,9.997557473810373e-05
2,0.12944893323583528,0.12475780374370515,9.990232305719946e-05
3,0.12305802846094593,0.1219514871481806,9.978031724785248e-05
4,0.11845405993517488,0.11858079303056002,9.960967771506668e-05
5,0.11492451565572992,0.11735628079622984,9.939057285945934e-05
6,0.11434523505158722,0.11402589362114668,9.912321891107012e-05
7,0.1122867634985596,0.11320254835300148,9.880787971596802e-05
8,0.10996738274116069,0.1132249184884131,9.844486647586726e-05
9,0.10775394778465852,0.11272718920372427,9.80345374410087e-05
10,0.10741479537682608,0.11344671552069485,9.757729755661012e-05
11,0.10614855220774189,0.11273183370940387,9.707359806323419e-05
12,0.10377963236533105,0.11247309134341776,9.652393605146847e-05
13,0.10418468766147271,0.11016069049946964,9.592885397135708e-05
14,0.10159422172000632,0.11176447267644107,9.5288939097068e-05
15,0.10092266305582598,0.10996622405946255,9.460482294732424e-05
16,0.10165607056114823,0.11231756769120693,9.387718066217127e-05
17,0.10002355117467232,0.11019087419845164,9.310673033669524e-05
18,0.0994908232241869,0.10998459113761783,9.229423231234978e-05
19,0.09753571188775823,0.11038098693825305,9.144048842659084e-05
20,0.09732713393168524,0.11078602937050164,9.054634122155993e-05
21,0.09737960778875276,0.11087889829650521,8.961267311259669e-05
22,0.09748710534768179,0.10972247296012938,8.864040551740159e-05
23,0.0960015187447425,0.11002501519396901,8.763049794670778e-05
24,0.0961533619556576,0.11066923313774168,8.65839470573599e-05
25,0.0952646178775467,0.11243873345665634,8.550178566873413e-05
26,0.09451825299765915,0.1097194580361247,8.438508174347012e-05
27,0.09503829741152003,0.1118240375071764,8.32349373335208e-05
28,0.0934593484562356,0.11019666166976094,8.205248749256017e-05
29,0.09430207387777045,0.10974589199759066,8.083889915582238e-05
30,0.09389289864338934,0.11094005010090768,7.959536998847746e-05
31,0.09254666676861234,0.11071766656823456,7.83231272036805e-05
32,0.09201633685734123,0.11080062505789101,7.702342635146036e-05
33,0.09225173329468817,0.11099294456653297,7.56975500796434e-05
34,0.09181482685380615,0.11009955289773643,7.434680686803493e-05
35,0.09052905259886757,0.1127802322153002,7.297252973710759e-05
36,0.08911567484028637,0.11113903345540166,7.157607493247112e-05
37,0.0889494392904453,0.10974304750561714,7.015882058642166e-05
38,0.08916144701652229,0.11176425428129733,6.87221653578916e-05
39,0.08840820085606538,0.11223533842712641,6.726752705214197e-05
40,0.08760168423759751,0.11033524735830724,6.579634122155994e-05
41,0.08739938150392845,0.11301720351912081,6.431005974894189e-05
42,0.08768704137764871,0.1107372553087771,6.281014941466034e-05
43,0.08803085330873728,0.11129481857642531,6.12980904491289e-05
44,0.0872970133787021,0.11250381427817047,5.977537507199341e-05
45,0.08688600623281673,0.11194287263788283,5.8243506019491463e-05
46,0.08565427237772383,0.11210693884640932,5.67039950614331e-05
47,0.08557810305501334,0.11385031626559794,5.515836150926649e-05
48,0.08433637334383093,0.11412961990572512,5.3608130716701046e-05
49,0.08431047142948955,0.11310893669724464,5.205483257436738e-05
50,0.08397616166621447,0.11377985845319927,5.050000000000003e-05
51,0.08402693967218511,0.11517402692697942,4.894516742563268e-05
52,0.08477051320369355,0.1139872265048325,4.739186928329902e-05
53,0.08355295562068932,0.11446191393770278,4.584163849073357e-05
54,0.0825144014088437,0.11527485237456858,4.429600493856697e-05
55,0.08296389362658374,0.11529375612735748,4.275649398050859e-05
56,0.0819285231991671,0.1145383536349982,4.122462492800665e-05
57,0.08130906918086112,0.11436831345781684,3.9701909550871175e-05
58,0.08139438641956076,0.1155555413570255,3.81898505853397e-05
59,0.08073434041580185,0.11766322422772646,3.668994025105817e-05
60,0.0812012511305511,0.11856543086469173,3.520365877844013e-05
61,0.08027173462323844,0.11609527305699885,3.373247294785809e-05
62,0.08038876406499185,0.11724851955659688,3.227783464210847e-05
63,0.07976109339506365,0.11603888217359781,3.0841179413578366e-05
64,0.07964257983257994,0.11632469831965864,2.9423925067528915e-05
65,0.07929892544052564,0.11734532471746206,2.8027470262892447e-05
66,0.07855359825771302,0.11758407391607761,2.6653193131965096e-05
67,0.07828041075845249,0.11809132597409189,2.530244992035663e-05
68,0.07821356441127136,0.11751530086621642,2.3976573648539666e-05
69,0.07833953181398101,0.11849647108465433,2.2676872796319543e-05
70,0.07827769397408701,0.11928446032106876,2.1404630011522596e-05
71,0.07841261511202902,0.11874842876568437,2.016110084417767e-05
72,0.07775671011768281,0.11876895814202726,1.894751250743987e-05
73,0.07736952719278634,0.1191095132380724,1.776506266647925e-05
74,0.07714413217036054,0.11993253184482455,1.661491825652992e-05
75,0.07661306849331595,0.11999575118534267,1.549821433126591e-05
76,0.07696770047186874,0.12034117081202567,1.4416052942640147e-05
77,0.0764786895015277,0.12045524595305324,1.3369502053292257e-05
78,0.07663134834729135,0.12086882092989981,1.2359594482598444e-05
79,0.07583189435536042,0.1216211502905935,1.1387326887403332e-05
80,0.07629314696532674,0.12112644035369158,1.0453658778440112e-05
81,0.07678061351180077,0.12144387001171708,9.5595115734092e-06
82,0.07606935943476856,0.12175049097277224,8.70576768765027e-06
83,0.07588856868096627,0.12150711473077536,7.893269663304789e-06
84,0.07555597828468308,0.12161691416986287,7.1228193378287565e-06
85,0.07603501717676409,0.12203571340069175,6.395177052675798e-06
86,0.07590909433201887,0.12225040956400335,5.711060902932045e-06
87,0.07549985920195468,0.1226282985880971,5.071146028642947e-06
88,0.07504873775178567,0.12276859814301133,4.476063948531561e-06
89,0.0752314722922165,0.12274923361837864,3.926401936765843e-06
90,0.07496661850018427,0.12254858785308897,3.4227024433899027e-06
91,0.07587322182371281,0.12267587124370039,2.9654625589913256e-06
92,0.07525150873698294,0.12274577864445746,2.5551335241327686e-06
93,0.0754635033372324,0.122814612230286,2.1921202840320086e-06
94,0.07576310524018481,0.12294454709626734,1.8767810889299092e-06
95,0.07542069544433616,0.12296169274486601,1.6094271405406865e-06
96,0.07564361087861471,0.12310941820032895,1.3903222849333511e-06
97,0.07588982643210329,0.12317823898047209,1.2196827521475405e-06
98,0.07511171072837897,0.12322827847674489,1.097676942800558e-06
99,0.0749052329629194,0.12318690866231918,1.0244252618962857e-06
100,0.0754055003344547,0.1231896139215678,1e-06
